source,target
0,1100
0,4971
0,8141
0,5549
0,7976
0,4053
0,5410
1,172
1,6931
1,4549
1,9976
1,8607
1,6814
1,9771
1,4807
1,3210
2,1489
2,4118
2,2196
3,567
3,2403
3,3149
3,5043
3,8879
3,9821
4,3919
4,7790
4,1757
4,6529
4,303
4,7617
5,1226
5,2048
5,4951
5,424
6,8977
6,6678
6,7695
6,8870
6,6354
7,2676
7,4680
7,2792
7,2435
7,5442
7,1260
8,2742
8,854
8,4124
8,2246
8,9114
8,9349
8,5651
8,9394
9,9813
9,8265
9,4705
9,3450
9,7416
9,9002
9,7869
9,566
10,817
10,6530
10,1354
10,774
10,6866
10,8699
11,7479
11,5435
11,8289
11,9883
11,7598
11,6998
11,8536
11,2225
11,7505
11,8964
12,2160
12,151
12,9251
13,9175
13,7546
13,1780
13,9382
13,3578
13,8841
14,2438
14,817
14,9197
15,2188
15,3786
15,7170
15,7536
15,8362
15,2405
15,9470
15,6820
16,684
16,8000
16,3665
16,6091
16,7984
16,7705
16,3037
17,1559
17,2065
17,2762
17,3250
17,3801
17,8134
17,6135
17,7836
18,8431
18,2445
19,7069
19,3675
19,884
19,818
19,768
19,7721
19,1776
19,4267
20,1770
20,3516
20,2217
20,907
20,1645
21,523
21,5596
21,6329
21,6784
22,7607
22,5692
22,6784
22,1749
23,6164
23,1877
23,7881
23,2855
23,8337
23,3380
23,8023
23,217
23,2080
24,8840
24,5387
24,3272
24,2286
24,9208
24,1329
24,3841
24,3335
25,5780
25,3171
25,1587
25,7323
25,3414
25,1569
25,8900
25,4837
25,129
26,8215
26,1815
26,8325
26,4166
26,4437
26,1203
26,9738
26,2644
27,8518
27,5092
27,8985
27,7765
28,2760
28,5609
29,2911
29,9076
30,4924
30,1063
30,1705
30,5904
30,988
31,722
31,5820
31,1075
31,9890
31,9614
32,7437
32,998
32,3110
32,6704
32,8620
32,2156
32,2795
33,9974
33,1229
33,952
33,7989
33,6574
33,2973
33,2210
34,8008
34,841
34,2879
34,2754
34,9201
34,1001
34,1895
34,5869
35,6396
35,5592
35,2435
35,8844
35,3706
35,2771
35,528
36,9319
36,7045
36,6162
36,4817
36,9621
36,2273
36,9021
36,7255
37,7722
37,8977
37,6534
37,5004
37,3509
38,9028
38,4632
38,6927
38,609
39,9325
39,3030
39,1756
39,7960
39,2532
39,3300
40,9534
40,2523
40,6290
40,5298
40,5064
40,1842
41,4080
41,6478
41,1425
41,5693
41,3954
41,3650
41,9717
42,4377
42,8336
42,645
42,6114
42,418
42,2078
42,6047
42,6187
43,2564
43,2754
43,6655
43,3079
43,2307
43,7732
43,8644
43,8739
43,5333
44,208
44,1713
44,3060
44,7113
44,828
44,9487
44,7215
44,5530
44,1851
44,1594
45,800
45,336
45,6859
45,4030
45,6159
45,1941
45,1565
45,7477
46,4542
46,5926
46,3443
46,8864
46,3119
47,2071
47,3228
47,2439
47,9464
47,7939
47,5152
48,7240
48,463
48,5107
48,963
49,4169
49,5161
49,1941
49,9912
49,1646
49,8080
49,6118
50,6564
50,7486
50,4718
50,5361
50,7099
50,3501
50,4664
50,8126
50,4080
51,5278
51,1759
51,1531
51,3233
52,3509
52,5098
52,198
52,4011
52,7143
52,5471
52,1709
52,8116
52,8628
52,3868
53,7433
53,1090
53,5378
53,2665
53,8070
53,3755
53,1282
54,6298
54,8727
54,1989
54,923
54,8120
54,7033
54,2505
54,8595
55,2442
55,7668
55,79
55,2791
55,3836
56,3648
56,6245
56,8562
56,3396
56,84
56,6578
56,4506
57,4146
57,6063
57,661
57,9367
57,2329
57,6854
58,722
58,3015
58,9942
58,5074
58,9606
58,838
58,8970
58,7663
59,3253
59,2956
59,2608
59,9928
59,1503
60,9414
60,3594
60,8531
60,3081
60,7287
60,3300
60,9900
61,6444
61,5693
61,7372
61,205
61,1479
61,582
62,7005
62,1500
62,7422
62,3602
62,5546
62,7429
62,8450
63,5271
63,9064
63,182
63,4523
63,4136
64,7676
64,4661
64,2148
64,4420
64,7316
65,9638
65,1209
65,7605
66,9428
66,1199
66,2720
66,7704
66,2378
66,5990
66,6842
67,293
67,5095
67,9560
67,9232
68,210
68,6792
68,6944
68,912
68,9095
68,8562
69,6688
69,1893
69,4693
69,5157
69,278
69,6915
69,9502
70,2556
70,1616
70,7807
70,8695
70,5997
70,1395
70,2647
70,3316
70,6312
70,7607
70,9180
70,1974
71,8689
71,3261
71,6082
71,1848
71,714
71,4205
71,5347
71,782
71,8946
71,2988
71,2938
72,6370
72,7869
72,480
72,8918
72,5184
72,6882
72,7731
73,433
73,317
73,9481
73,7160
73,8815
73,9677
73,7897
73,5268
74,6861
74,7716
74,616
74,9888
74,8569
74,4406
75,7927
75,6778
76,6280
76,4277
76,797
76,9433
76,5355
76,5621
76,2218
76,5587
77,950
77,4758
77,925
77,5015
78,522
78,3959
78,6258
78,8686
78,7546
78,968
78,2684
79,2762
79,4913
79,8402
79,4082
79,9258
79,4769
79,4179
80,8807
80,3216
80,2354
80,7962
80,4828
80,5539
80,6177
80,3146
80,1224
80,2276
81,6131
81,8671
81,8647
81,7015
81,7779
81,7063
81,9411
81,5751
82,9383
82,8953
82,4467
82,957
82,9069
83,9399
83,5010
83,6194
83,1573
83,8537
83,7138
84,9016
84,6420
84,1755
84,1076
84,187
85,1499
85,7424
85,5891
85,9826
85,5128
85,6259
86,7349
86,1492
86,6683
86,3622
87,4155
87,2948
87,9096
87,4663
87,1101
88,1022
89,3096
89,9195
89,7352
89,291
90,1746
90,5429
90,2347
91,4393
91,5109
91,9604
91,5308
91,6330
91,9838
91,4216
91,7295
92,4178
92,6620
92,8863
92,9781
93,4080
93,4499
93,2520
93,1723
93,190
93,1366
93,229
93,2545
93,8682
94,8904
94,6263
94,2565
94,3194
94,397
94,255
95,9735
95,6470
95,5885
