source,target
0,86
0,5391
0,550
0,2485
0,2274
0,6803
0,4988
1,6765
1,5949
1,6634
1,5032
1,5642
2,5365
2,7164
2,2457
2,6985
2,4116
2,3264
3,2489
3,1338
3,7327
3,1858
4,7524
4,492
4,334
4,2062
4,5867
4,1113
4,542
4,6645
4,4557
4,5921
5,3739
5,3915
5,6356
5,408
5,5217
5,3265
5,1451
5,387
5,6033
5,4990
6,435
6,5395
6,7972
6,3677
6,2463
6,1789
7,5245
7,5519
7,7164
8,779
8,6657
8,4777
8,53
8,7984
8,1032
8,1381
8,6391
8,3992
9,5387
9,6779
9,7472
9,1331
9,1149
9,1222
10,5901
10,6597
10,4479
10,2235
11,6217
11,5188
11,951
11,4076
11,2795
11,1427
11,4168
12,5036
12,968
12,4028
12,6617
12,6028
12,2693
12,1636
12,1143
13,4259
13,2546
13,6743
14,7772
14,1380
15,5326
15,5814
16,4987
16,3718
16,499
16,3013
16,614
16,506
17,3104
17,1816
17,4004
17,7059
17,420
17,133
17,511
17,3465
18,1745
18,3252
18,3081
18,7895
18,1169
19,7585
20,4767
20,1261
20,2040
20,3145
20,7969
20,5956
21,3346
21,2317
21,4168
21,6417
21,189
21,2376
22,104
22,856
22,5423
22,3594
22,905
22,168
22,3429
22,7661
22,414
22,7559
23,2271
23,1665
23,4706
23,7096
23,1035
23,5588
23,1219
24,6688
24,4703
24,2272
24,3620
24,1895
25,1114
25,3743
25,5227
25,6011
25,5186
25,879
25,3549
25,7509
25,7350
25,765
26,7813
26,3557
26,2549
26,545
26,4879
27,3149
27,4363
27,7811
27,4328
27,913
27,461
27,39
28,6194
28,1661
28,4609
28,3031
28,6100
28,1698
28,7933
29,2732
29,1310
29,285
29,7535
29,6631
30,4707
30,5232
30,5916
30,1540
30,5870
30,7014
30,4103
30,7141
31,3502
31,750
31,2635
31,4607
31,3711
32,875
33,5543
33,2547
33,7959
33,4714
33,5732
33,6334
34,1553
34,7374
34,3472
35,4086
35,7947
35,7975
35,3903
35,2173
35,5622
35,7203
35,555
35,7106
35,7381
35,1642
35,6674
35,357
36,5773
36,3934
36,216
36,7346
36,6584
37,3430
37,7839
37,7571
38,3703
38,3140
38,4709
38,4900
38,7468
38,103
38,7408
38,3357
39,2565
39,6281
39,5616
39,2456
40,4403
40,3065
40,2143
40,4542
40,4723
40,1177
40,1419
40,3245
41,4691
41,7358
41,1297
41,2505
41,2233
41,2293
41,1822
42,7901
42,7724
42,6036
42,2590
42,2864
42,2945
42,7248
42,7183
43,5040
43,6589
43,372
43,4544
43,5582
43,4548
44,1548
44,4597
44,2849
45,5633
45,2196
45,2554
45,4802
45,1706
45,3165
46,2089
46,3417
46,3172
46,5219
46,2249
47,4980
47,5390
47,3235
47,2942
47,6234
47,5692
47,7852
48,7722
48,4381
48,2914
48,5489
48,3122
48,7372
48,3673
48,6600
48,1072
49,5159
49,2841
49,4373
50,1486
50,6283
50,6229
50,1482
50,4006
51,651
51,6971
51,3056
51,1935
51,1368
51,6834
51,5726
52,6261
52,7638
52,661
52,2523
52,7672
52,5109
52,5969
52,6118
52,1658
52,4334
53,6216
53,2460
53,4916
53,2009
53,2614
53,7598
53,1419
54,4359
54,4111
54,6260
54,724
54,1598
55,2136
55,2495
55,2972
55,7067
55,3915
55,6935
56,3992
56,2761
56,572
56,3931
56,1938
56,7822
56,428
57,5364
57,1491
57,5555
57,7499
58,1804
58,6466
58,3072
58,1712
58,2862
58,5135
58,5133
59,6527
59,1469
59,5450
59,6486
59,6110
59,132
59,2199
59,6650
60,838
60,5135
60,4734
60,1168
60,4392
60,1507
60,6860
60,7939
60,1084
62,448
62,3242
62,3097
62,1590
62,5259
62,3977
62,6763
62,2935
62,4384
63,982
63,4862
63,1152
64,5471
64,7452
64,841
64,6774
64,1300
64,7440
64,4988
64,1698
65,3741
65,6041
65,4594
65,2014
65,1785
65,1468
65,7924
65,5110
65,7159
65,5233
66,4636
66,6940
66,5698
66,4773
66,7948
66,7253
66,2371
67,1907
67,1753
67,418
68,96
68,4383
68,7742
68,7941
68,87
68,142
68,3038
68,7061
69,4614
69,1833
69,6813
69,5710
69,6308
69,2921
69,154
69,1229
69,6531
69,2816
69,851
69,5877
69,2229
70,6184
70,3625
71,7538
71,2666
71,7043
71,3122
72,3883
72,939
72,2904
72,7202
72,3603
72,2484
72,4438
72,6361
72,3741
73,7936
73,6258
73,1496
73,3432
74,1791
74,2454
74,5334
74,2268
74,6551
74,4354
74,6890
75,2444
75,4409
75,2430
75,4625
75,6314
75,5691
76,594
76,5462
76,3645
76,5163
76,1814
76,7844
76,1116
77,5216
77,825
77,5625
77,7546
77,7929
78,3969
78,7186
78,7384
78,2609
78,4765
78,1608
79,4594
79,375
79,4388
79,6600
79,4094
79,6988
79,617
79,4866
79,394
79,7437
79,1377
79,7600
80,2241
80,3881
80,912
80,6490
80,240
81,6309
81,604
81,4594
81,7191
81,2676
81,255
81,2905
82,4821
83,4553
83,2447
83,5654
83,5514
83,2002
83,193
83,4469
84,6181
84,702
84,5601
84,7046
84,3648
84,120
84,418
85,6684
85,1136
85,6461
85,4916
85,2036
85,2427
85,3280
86,867
86,5428
86,5511
86,5111
86,5716
86,1293
87,1652
87,309
87,7882
87,1604
87,5113
87,1678
87,3584
88,6377
88,5216
88,5613
88,1355
89,1313
89,4891
89,5638
89,6985
89,6027
89,988
90,1407
90,4755
90,829
90,597
90,6365
90,1055
91,7778
91,5549
91,7756
91,3046
91,996
91,4668
92,5746
92,1739
92,2335
92,1763
93,4693
93,2172
93,5192
93,4722
93,4866
93,7443
94,7720
94,5151
94,3724
94,6270
94,7639
94,4077
95,5270
95,1100
95,983
95,2642
95,7521
95,1252
96,4942
96,292
96,2219
96,3239
97,137
97,994
97,2365
97,556
