source,target
254,1197
2713,7224
748,1705
803,5576
905,6792
907,1203
43,2855
5553,5938
4932,7348
1554,6649
68,633
5588,5932
4552,7292
2747,4714
3139,3252
3178,3180
126,4960
4090,4228
549,5817
6956,7196
4687,6204
2753,5660
1036,6844
3629,6270
1244,7547
1863,6064
1820,2230
3818,7862
1178,6146
4897,6549
2427,7718
5112,7642
317,2784
6560,6980
266,752
1946,6075
2517,6830
731,2774
1994,2359
321,3842
3456,5537
3800,5347
3932,5466
916,3493
4785,5153
1034,3714
2761,6409
3496,3623
3282,5357
3737,5937
4147,7498
1580,7041
3548,6415
764,4011
3797,7119
1716,7087
1053,5053
2054,7082
5502,7022
1518,4069
991,4552
1094,5993
1098,6866
4116,4778
3085,5728
4607,7459
4513,4599
1870,3366
3825,4198
5559,5812
3119,3218
4505,7340
5539,6099
129,5095
2343,3936
1627,2268
519,1308
3955,7812
5331,7274
5790,7788
4260,5415
2487,7448
2454,5056
654,2822
519,2597
5665,6746
1494,3967
4317,6299
2980,5287
79,2483
2795,4194
303,5574
1717,3608
5010,5889
5549,7860
5753,7101
1511,5610
3474,7084
1789,4800
1374,4558
2983,4780
6172,7435
2221,4430
3669,5458
2750,7403
3583,3994
4730,5848
865,2587
1097,3876
835,3876
274,6283
833,7967
3254,3903
938,3065
2618,7634
6573,6624
170,2146
1190,4225
822,7212
5928,7990
3137,7825
1497,6038
1890,5740
43,7824
302,6772
4120,7743
3927,4130
3402,5248
3019,7927
1849,6089
1258,2615
569,5022
5235,7780
1873,7614
629,5827
6634,7226
226,3902
1859,5464
3684,6250
2145,2825
4082,6296
4488,7738
1509,1860
342,1983
897,6931
2413,6962
1131,4129
2913,5033
524,2404
3452,6250
2389,6726
990,7280
1473,5936
5690,6616
4126,5413
5168,5753
1966,6219
873,4601
536,6147
648,7142
2404,4351
5774,6852
3593,7370
1151,1697
2006,2211
452,3416
4983,5949
1623,5075
1559,7534
3950,7765
359,3575
2747,3535
2657,4773
838,4741
1677,6250
121,5100
4885,5949
2685,6979
2743,6395
604,4695
1626,7601
654,4058
775,7960
2167,6235
2802,4531
1530,4860
313,7148
1977,3859
4795,5093
4905,7705
4657,5159
3404,3818
1506,7657
3631,4763
1241,1724
1720,5142
269,7980
243,6759
4575,7951
2725,5600
1039,3468
1220,7421
751,5630
6142,6577
381,5538
1757,7252
1256,2540
3016,5375
3365,6283
4070,7038
3860,4010
4170,5929
1231,5866
1167,1909
3460,7459
3605,7059
157,703
5807,6829
1163,1386
5085,6844
5164,7137
1669,7381
494,5199
4649,5001
2186,2423
644,2110
5931,7430
2530,2583
4494,6911
2106,2255
4286,6238
2289,6843
3841,7285
3457,3912
5657,6265
3730,5202
3561,7645
758,2747
2143,4015
573,4687
2197,2531
6381,7235
5708,6203
820,4564
727,4373
3789,6721
1920,4882
1297,5657
4671,4894
3057,4328
3472,7953
2858,7501
3104,3770
2706,2943
2541,5350
1586,4605
1655,7593
4099,6896
2338,6280
480,658
2246,4247
3705,7908
1812,7927
1860,6655
5424,5989
1893,3570
802,5031
1003,4001
2599,3961
1348,7419
6585,7899
4295,6030
14,7809
6634,7791
367,6392
5014,6656
893,5684
1726,6439
1519,5557
1407,2872
2136,4967
1948,4916
2312,6132
4400,6554
1098,6439
1391,4217
569,1399
2375,5141
2473,5676
906,5865
218,3801
2399,6666
6940,7443
4170,4937
185,4792
1778,7487
317,747
3849,7740
3719,5415
240,7882
2337,3694
1276,4243
1489,7734
2046,2175
642,2385
2440,5512
2227,7848
4985,5621
761,7180
7178,7557
115,4561
3931,4897
4300,5703
301,3381
820,5666
2778,6796
5364,7495
6426,6767
3582,7530
2298,6344
4690,5457
1887,6975
1864,6991
1200,1349
2059,4234
3230,7428
3383,6889
231,1083
301,2576
394,6739
2016,7920
3162,6920
1302,6298
3162,3887
2053,5708
2593,7150
1833,6873
3923,4924
1454,1592
5056,7634
4448,6997
5296,6532
2219,6535
2033,3147
3657,5155
257,7915
6129,6506
5194,5474
3165,5632
5529,7450
5716,7276
6246,7441
3514,5227
5284,6306
4330,5032
236,6637
182,3368
2573,2845
2731,4185
3166,4113
6729,7975
585,4697
3136,6341
1061,2182
2043,2471
6967,6985
6609,7277
1988,5201
4349,4469
758,1218
1812,6264
2333,7656
4921,6738
1741,3580
1269,4524
2935,4499
1414,4124
1603,7029
259,7290
7182,7273
4570,6292
628,3565
848,1619
946,6126
2527,3334
1341,4935
362,6829
2392,7081
4074,6061
3177,7765
6200,6775
3471,7488
1550,7179
1171,6594
4911,6154
1339,6178
2963,5742
3555,6785
5437,6385
5868,6571
1790,6989
1859,6594
5972,6894
2705,7554
4298,7997
5939,6222
1460,5542
1694,3494
3216,7477
1457,5244
1441,5650
930,7420
1700,5352
1853,5594
38,608
4834,6822
1821,6810
6071,7438
2857,5450
4610,7114
118,2257
1720,2971
5133,6108
4099,5851
1402,7765
2935,7211
6303,6633
1825,2391
2738,7047
4299,7952
3113,3137
1695,4203
4451,4559
103,1329
172,1688
5937,7572
987,5055
3650,5220
3418,5062
1989,5215
4000,7669
6006,7527
4822,5791
942,3942
3632,5930
1884,2166
2985,6119
4509,4513
1193,2248
1270,1714
3891,6571
4439,5622
2350,5729
5469,6891
6701,7163
32,1812
1195,6643
1628,5744
3543,6238
4670,4996
2756,4138
3912,7798
2178,7315
3027,3096
757,6016
870,5139
1713,6582
1348,1731
264,5329
1468,6751
3822,7881
2989,7126
4004,4889
836,3276
2124,2891
3173,6654
1424,2665
63,7648
4175,6814
35,7320
3393,6024
2601,3580
1477,6813
4319,6189
3362,7650
1229,7650
92,1007
5489,5933
1948,7522
518,3101
5068,5876
5250,5358
964,1875
4690,5701
440,6793
1183,3868
3638,5804
534,3230
1060,4966
5678,6744
1358,2179
6610,7478
1923,7815
684,6372
3738,6193
4537,6775
889,6023
106,3133
2139,7066
2242,4535
1624,3210
1130,6085
6123,6986
882,5983
233,7789
384,7958
3491,7605
4907,6466
4468,6015
4473,6359
6142,7386
636,6866
2919,7564
6312,7797
5195,7283
763,2477
2781,3658
3962,5096
4737,5092
5688,7566
1875,5249
3312,7616
2812,4260
498,1805
1051,1954
6316,7515
2677,7226
788,6455
1846,4854
3687,5399
1835,7139
2222,7585
3759,7904
3508,4121
5758,6591
3843,3845
3816,5405
2009,4444
2209,6949
1412,3407
557,4613
1317,1857
3056,6067
1119,2781
1730,4655
938,2211
1196,1688
1987,2941
5825,7008
1038,3731
1792,3412
3346,7310
1580,3906
4363,5119
3473,5550
542,7822
2885,6319
5240,6331
5713,6551
2599,3481
2280,3701
3682,6828
2175,5405
760,3736
919,1514
2607,2783
1624,3023
5686,6798
1873,3727
3144,5617
392,2936
1835,4374
4359,6824
355,7191
3703,5207
1333,7546
1308,2763
1729,2793
201,1247
5939,6466
2451,3717
5578,6460
576,3753
3643,4001
1652,6895
3816,3929
4291,4976
6750,7031
2340,5956
747,4924
5021,6892
291,2429
2469,5023
4883,6958
2114,6552
1881,5792
38,1202
5574,7226
1323,2239
6720,7165
1069,6264
5324,7990
3106,7687
663,3132
305,391
4726,6728
1505,7733
1441,6028
3153,3719
4889,5968
716,6526
3087,3099
50,2501
3382,4710
5701,6785
145,294
3981,4480
2034,5202
465,7065
1430,3775
7035,7684
3385,7236
1900,2354
1007,5520
2122,5207
471,2507
844,7219
1849,5048
980,2384
4467,7914
3563,6195
3592,7687
5180,7032
2917,3576
602,5592
476,757
1642,2853
2605,5152
128,6840
986,6871
2386,4475
4729,6170
5563,5615
122,7210
3824,6478
6884,7999
575,3745
587,2816
105,7014
6605,6894
724,7251
5711,5863
4532,6191
3675,5604
4012,4435
2479,2545
1453,7811
6740,7469
1733,4418
4752,7628
2594,3434
272,7477
3187,4702
1664,3500
6550,7722
4907,6226
208,7492
358,1020
543,6435
4576,5308
368,2647
1142,6205
684,5327
849,4640
6253,7327
2598,7848
1734,7248
2702,3475
3464,7208
4920,6407
3208,6464
443,4110
1802,6601
420,6570
3837,7197
6645,7743
1710,4568
2804,3378
2172,4599
6912,7306
2254,6883
1349,4562
289,2330
3045,3440
5553,5946
4987,7255
814,4403
6561,6675
585,3762
2075,2572
3077,5765
2586,6659
18,6539
4147,7372
162,811
4014,5530
2234,4672
1223,4584
376,2433
1820,5971
3360,7342
750,6057
2656,6243
1888,1941
97,1705
422,1273
1291,3937
764,5174
3013,4036
3150,4499
1949,3348
5460,7020
1279,3553
3066,4047
1560,3014
2075,6089
5991,7595
1397,7157
4175,5582
2549,3878
4513,5762
1373,4477
4705,5932
3784,7804
3137,4987
5308,5444
5297,6975
2769,6254
1846,4293
1906,2846
5758,6030
3921,6358
4057,7939
447,3507
417,4796
914,5602
2353,2380
1680,7764
2815,6383
2272,4643
1921,3662
2702,4227
4444,7422
1142,7307
4454,5666
3845,5558
6661,6719
1205,6316
5473,5995
3212,4864
4972,7699
441,2133
3742,5029
1383,5275
2204,5424
6272,6735
3357,4814
5585,7525
1694,7015
5331,5888
229,6922
5788,6514
1884,3325
1064,6969
5238,7013
1912,6312
3653,5872
3794,7797
1428,5152
1901,3120
1033,3310
3378,4886
1733,6138
4032,7746
3830,4579
3170,5472
438,3258
2794,6878
3120,7048
6373,6520
3131,4204
1985,2952
4627,6212
2237,3173
2352,7849
3719,7757
5911,6839
2248,6745
2059,5503
669,5611
1854,6791
1080,4953
700,1699
2367,4343
6288,6947
1930,2090
1308,5719
1994,3014
4187,4950
684,2859
3392,6207
3362,5776
1693,7223
6768,7934
46,1067
19,6791
2697,4046
524,2762
2268,2593
970,4919
4528,7471
1964,6531
2169,3553
1827,3035
1890,7521
1179,3753
3522,4694
1426,6074
6094,7215
2224,3610
4150,5202
5615,6399
6058,7908
2193,4647
2310,5232
206,1274
2611,3093
573,2199
2522,3775
3919,4114
5226,5661
2658,5541
3490,4351
3728,7148
142,3302
6064,6918
1355,7496
4668,5491
4236,6800
1736,4155
5654,5707
3684,7226
3718,6810
788,2137
824,1794
2740,7394
3227,6758
2944,6635
1690,3406
2980,3848
3895,4413
342,515
5878,7293
2336,4685
1543,5988
734,4129
5892,6760
1761,7729
6286,7064
1291,5336
1002,5233
4255,6395
714,4012
977,6866
1436,4936
340,3801
2184,3109
4302,6591
114,4397
1807,1846
2560,6779
5261,7428
2642,4337
2207,2719
6661,7284
1547,6056
320,3684
3262,3264
1544,5758
3792,7401
5642,5965
3360,6431
777,5249
3942,4312
3194,7078
3198,7951
4390,4852
542,5732
987,1652
267,7190
152,4234
3061,7838
4469,6057
1531,6596
6431,7306
2859,7330
1522,3100
3624,4918
3561,3815
7107,7296
1577,6190
445,672
5016,6576
5580,7291
4821,6485
3970,7783
3863,5442
4169,6680
1796,5308
5712,7568
1905,2999
1870,6196
1001,4286
3485,3954
1946,6945
4208,4514
5869,6589
4741,5916
4426,6844
883,1382
141,3963
846,1500
2573,4195
1707,3522
3675,5340
2130,3625
4914,6783
4686,5613
6357,7467
496,6756
5941,7000
781,1263
1653,7608
3867,6449
1958,5211
4771,6101
5634,7230
587,4780
4597,5921
6178,6539
734,1043
3365,6588
496,2568
2246,3934
