source,target
1297,1533
27,1972
1724,2509
3353,4632
1297,4916
306,340
768,2586
235,1857
2149,2392
1113,1308
1284,4573
1881,4563
749,1031
1769,1878
3078,4060
3651,3656
492,4115
1526,4106
56,4716
2112,2217
155,3712
2156,3455
1134,4521
442,3476
1625,3038
3032,4294
998,1893
1529,4498
1649,4563
1427,3467
1943,4515
3061,3948
2041,3626
3419,3427
1934,4732
485,2247
3938,4746
2293,3847
1063,3944
438,1906
1656,2243
427,3208
1184,1201
972,3008
4069,4182
287,690
2670,4736
4767,4978
1551,1897
723,1257
3104,4439
1213,3070
67,3841
790,1984
523,4838
1949,4158
887,3314
4020,4411
952,2248
49,525
1334,4299
2333,4269
1629,3924
1431,3414
4509,4575
3621,3884
3762,4826
1532,3991
3213,3564
2624,3694
726,2615
560,1091
3943,4837
2063,2580
2524,3692
3606,4663
3821,4588
204,3149
252,1877
811,3561
2602,4551
2812,3341
1394,4407
4926,4984
2974,3110
143,1597
3037,4398
239,4274
693,4481
712,4494
1603,2716
39,722
1981,3305
2081,3014
2261,4113
473,1179
2150,4282
2786,3957
601,3845
2239,2819
1797,4423
2306,4529
1994,2722
2651,4978
1471,4667
232,3224
3120,3736
668,4020
1569,2206
1939,3954
3088,4686
1025,1813
1687,4413
3093,4801
714,874
179,301
1676,4254
3453,4555
738,3971
3387,4201
1319,3199
1209,4788
830,4203
942,2983
596,2575
809,1636
2717,4406
1447,3613
588,1179
2962,4173
603,4685
2370,4298
52,4811
771,1529
766,3171
790,3757
3384,4805
189,615
1894,3551
57,1893
1872,2220
216,1657
4598,4885
1195,3927
3378,3455
919,4783
3035,4284
1874,2037
1707,1860
2183,3775
1747,2161
1200,1534
2103,3257
3598,4397
717,4275
1493,3742
1856,2333
2632,3786
1371,2584
3115,4923
970,1486
921,3287
2531,3182
2610,3475
3185,3706
3838,4500
189,857
3186,4574
1945,4253
2024,4317
3980,4849
2096,2207
499,2776
3026,4063
693,1595
835,3634
3053,3937
2924,3261
80,2792
140,2843
726,2415
1457,3159
1393,3632
2692,3894
3010,4469
1983,2451
725,2715
1604,3852
2719,4936
2836,3535
3168,4008
3853,4865
1289,1710
632,3426
833,3416
2245,2801
877,2705
4320,4516
1004,2251
1002,1653
255,2658
1535,3873
1545,2346
2152,3512
2262,3155
1787,1879
1828,4849
1852,2991
659,1435
2622,4895
3014,3433
3955,3987
247,2659
890,1304
4030,4575
1344,4692
695,2031
3790,4822
877,3765
2508,2514
3115,3192
1331,1949
598,2098
2764,3379
842,1677
503,4197
3491,4647
3687,4293
2479,4149
3659,3965
2225,3515
1077,4405
4444,4649
2295,2527
786,3209
1567,1788
1467,3836
2862,3806
539,4766
281,1990
917,925
390,2162
2131,4755
112,1400
1246,3315
530,1913
998,1264
1495,2070
1562,3063
1450,4771
3416,3547
2201,2232
501,3612
1091,1162
1046,3900
2479,4391
3225,3686
3199,4488
1143,2786
2185,4587
1755,3313
3716,4189
2641,3177
2474,4232
466,2278
1087,2625
1715,1965
1927,2602
584,4485
154,2457
1888,4108
563,3150
1614,2556
2402,4063
3522,4094
1292,4491
3303,4959
545,1524
1591,3592
113,3853
2320,2947
104,4033
99,1474
988,1047
4613,4821
375,4496
446,2750
872,3087
2477,4853
1450,2798
454,884
1959,2941
2859,4918
3423,4731
3134,4628
1852,4535
2418,2997
3638,4161
2879,3355
969,1744
1485,2792
683,3336
1096,3505
1395,1852
1209,2628
3110,3224
352,2004
978,4910
